TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
BSOFT,-230,13,53,2,529,503,28,46,4,166,273,388.3,2025-04-01
BSOFT,272,-2,27,9,517,463,10,23,-4,2,331,391.95,2025-04-02
BSOFT,-5,14,69,6,507,570,-20,31,7,333,149,387.85,2025-04-03
CAMS,202,-102,9,38,449,459,10,127,15,148,123,3722.95,2025-03-28
CAMS,-50,9,72,5,125,-66,48,5,27,40,-44,3671.2,2025-04-01
CAMS,-350,63,-123,0,-186,15,-20,-19,0,84,-225,3756.8,2025-04-02
CAMS,532,96,48,-6,156,86,14,27,0,50,29,3823.15,2025-04-03
CANBK,637,50,283,-10,297,844,39,333,167,271,150,89,2025-03-28
CANBK,-707,54,-53,-1,213,50,-25,-37,86,306,163,90,2025-04-01
CANBK,-631,58,-200,111,143,152,-7,54,74,-263,159,91.1,2025-04-02
CANBK,-403,59,-1075,-247,341,1057,506,286,58,586,-333,94.38,2025-04-03
CDSL,1074,155,114,35,3341,3934,258,177,87,962,522,1220.05,2025-03-28
CDSL,-82,67,29,1,787,479,41,44,12,121,127,1197.8,2025-04-01
CDSL,-1084,-53,140,47,-59,389,186,7,-33,375,-322,1221.45,2025-04-02
CDSL,-193,40,-341,-7,873,385,140,97,0,366,149,1238.3,2025-04-03
CESC,194,0,25,0,451,436,44,252,9,179,97,153.85,2025-03-28
CESC,54,7,46,0,-4,30,17,-50,-1,-23,-4,153,2025-04-01
CESC,85,2,-12,0,-45,-3,1,-7,-2,-25,1,153.9,2025-04-02
CESC,296,29,1,0,119,83,0,17,0,52,10,157.45,2025-04-03
CGPOWER,-217,12,22,0,211,175,25,293,14,230,132,638.5,2025-03-28
CGPOWER,-236,13,28,2,423,130,103,-26,7,275,181,615,2025-04-01
CGPOWER,-99,57,45,0,-63,-1,18,-2,4,74,46,623.6,2025-04-02
CGPOWER,270,31,18,0,138,-18,28,-15,4,63,62,615.95,2025-04-03
CHAMBLFERT,163,77,22,18,195,400,45,11,11,190,282,625.5,2025-03-28
CHAMBLFERT,19,11,6,-1,115,-41,1,10,0,62,10,621.4,2025-04-01
CHAMBLFERT,235,-49,-21,0,123,79,35,12,5,230,145,634.2,2025-04-02
CHAMBLFERT,-84,-8,22,0,92,279,29,18,8,-23,21,629.3,2025-04-03
CHOLAFIN,117,43,9,1,158,182,54,120,4,216,128,1519.95,2025-03-28
CHOLAFIN,-497,24,18,0,166,466,9,0,2,128,160,1468.25,2025-04-01
CHOLAFIN,-202,24,17,3,101,-28,1,-31,0,142,292,1460.25,2025-04-02
CHOLAFIN,-81,35,20,0,274,120,18,-16,0,35,57,1445.4,2025-04-03
CIPLA,1296,246,110,3,1800,1047,167,134,59,814,1134,1442.2,2025-03-28
CIPLA,56,102,28,0,1051,1018,326,-108,-8,1045,1024,1444.25,2025-04-01
CIPLA,-267,133,120,0,461,679,51,67,2,436,690,1452.35,2025-04-02
CIPLA,-1334,-163,-237,0,3134,1412,540,80,0,-667,400,1495.7,2025-04-03
COALINDIA,141,35,77,17,967,555,180,274,187,375,924,398.2,2025-03-28
COALINDIA,345,-10,76,7,3563,491,-9,-41,57,120,127,397.7,2025-04-01
COALINDIA,-458,83,123,9,2505,306,-27,-123,0,188,371,397.5,2025-04-02
COALINDIA,20,-67,57,13,1702,357,-105,104,24,388,108,397.05,2025-04-03
COFORGE,-1556,236,-56,43,529,385,488,78,34,618,176,8109,2025-03-28
COFORGE,-75,28,43,2,538,566,73,-329,-41,203,262,7780.8,2025-04-01
COFORGE,674,128,49,42,657,450,-36,-106,4,275,19,7761.5,2025-04-02
COFORGE,2541,220,229,8,4662,7128,590,325,-143,2034,1902,7157.4,2025-04-03
COLPAL,905,46,82,0,260,683,265,180,109,231,370,2389.8,2025-03-28
COLPAL,76,7,42,0,252,901,41,64,53,112,246,2350.5,2025-04-01
COLPAL,97,12,98,2,134,178,28,-6,3,215,22,2364.6,2025-04-02
COLPAL,-245,-93,-114,-2,794,151,15,5,2,-191,-44,2410,2025-04-03
CONCOR,339,27,53,5,322,623,73,89,32,85,204,691.6,2025-03-28
CONCOR,-284,6,24,0,115,293,11,37,1,24,-45,699.7,2025-04-01
CONCOR,-510,130,2,4,453,178,85,39,16,51,-6,709.45,2025-04-02
CONCOR,-181,-63,-102,0,-19,86,95,-3,-1,68,-1,714.5,2025-04-03
CROMPTON,138,-3,47,1,278,212,20,49,40,156,207,353.95,2025-03-28
CROMPTON,-21,6,15,0,231,13,-21,31,6,58,27,345.6,2025-04-01
CROMPTON,674,6,13,0,307,-201,91,55,3,42,79,339.3,2025-04-02
CROMPTON,326,31,21,11,116,41,18,5,6,198,12,335.55,2025-04-03
CUMMINSIND,-98,329,144,4,633,275,114,126,18,815,311,3051.8,2025-03-28
CUMMINSIND,293,34,29,0,288,233,-7,154,3,196,445,3010.1,2025-04-01
CUMMINSIND,-86,47,-28,0,36,137,-20,-2,0,-58,-17,3051.5,2025-04-02
CUMMINSIND,-165,1,36,0,122,199,11,20,3,62,19,3032.75,2025-04-03
CYIENT,204,12,48,3,191,107,16,83,40,96,110,1264.85,2025-03-28
CYIENT,243,12,29,0,114,84,17,47,6,218,20,1235.15,2025-04-01
CYIENT,348,36,12,0,139,28,7,1,1,-13,47,1250.35,2025-04-02
CYIENT,-381,45,19,0,266,147,-22,36,-2,271,141,1216.25,2025-04-03
DABUR,867,1,92,0,568,441,114,247,32,416,482,506.5,2025-03-28
DABUR,762,31,38,0,379,398,79,8,6,238,378,497.5,2025-04-01
DABUR,899,84,177,0,132,363,-118,-16,1,356,471,495.75,2025-04-02
DABUR,1336,360,528,35,2831,3597,141,-100,-79,1210,2889,465.4,2025-04-03
DALBHARAT,285,26,195,13,386,559,34,85,10,258,108,1821.55,2025-03-28
DALBHARAT,555,-16,34,0,-33,-79,423,15,2,67,151,1786.5,2025-04-01
DALBHARAT,436,-22,-12,0,-31,-91,-4,1,-2,112,63,1817.15,2025-04-02
DALBHARAT,-219,-9,-36,-2,129,34,21,94,7,24,-10,1857.15,2025-04-03
DEEPAKNTR,-113,0,27,0,220,191,163,29,12,52,448,1983.6,2025-03-28
DEEPAKNTR,33,16,29,0,55,171,-119,15,9,48,-6,1982.35,2025-04-01
DEEPAKNTR,-29,8,3,1,46,154,11,-1,-13,44,-33,2032.95,2025-04-02
DEEPAKNTR,-102,1,-6,0,4,39,6,5,-1,-81,34,2004.55,2025-04-03
DELHIVERY,385,17,92,19,517,128,125,82,16,197,265,255.1,2025-03-28
DELHIVERY,574,177,59,19,628,583,22,140,4,323,77,260.75,2025-04-01
DELHIVERY,-42,31,6,0,620,47,12,7,-1,38,23,259,2025-04-02
DELHIVERY,75,-156,-16,-8,93,791,58,47,7,196,39,263.55,2025-04-03
DIVISLAB,-73,32,33,1,323,382,52,120,21,142,354,5775.45,2025-03-28
DIVISLAB,603,77,65,0,652,1181,91,223,-38,374,806,5549.65,2025-04-01
DIVISLAB,326,134,152,3,-56,6,61,8,-8,194,398,5665.95,2025-04-02
DIVISLAB,-248,47,-51,5,1467,1254,405,459,12,188,40,5762.95,2025-04-03
DIXON,660,527,248,17,3333,3885,86,285,80,1358,749,13179.5,2025-03-28
DIXON,851,35,-21,0,1666,2001,286,99,62,1192,587,12924.05,2025-04-01
DIXON,-701,-164,-163,4,-1432,-575,56,20,-10,757,-413,13450.65,2025-04-02
DIXON,58,86,-39,0,1060,940,357,-40,3,1103,-10,13488.15,2025-04-03
DLF,-4,159,136,46,1030,643,198,363,62,357,396,680.5,2025-03-28
DLF,-2013,163,294,42,1626,1371,61,-106,-8,659,492,663.1,2025-04-01
DLF,-1347,-255,-152,11,-113,166,32,45,5,276,77,683.15,2025-04-02
DLF,342,110,-134,-22,413,130,75,77,-5,417,89,680.05,2025-04-03
DMART,1238,80,74,21,1179,868,532,386,48,694,143,4083.1,2025-03-28
DMART,947,56,60,1,124,360,21,-18,10,261,207,4003.6,2025-04-01
DMART,717,5,17,8,108,300,-14,32,1,398,611,4121.25,2025-04-02
DMART,157,66,-143,11,541,243,174,0,2,433,214,4157.8,2025-04-03
DRREDDY,1178,164,96,41,903,1078,36,129,0,555,1585,1144.2,2025-03-28
DRREDDY,832,101,70,48,713,441,104,-23,21,323,1239,1152.2,2025-04-01
DRREDDY,259,130,87,18,833,979,-13,-38,61,379,888,1150,2025-04-02
DRREDDY,997,-481,157,10,3398,5875,77,1013,286,775,-293,1151.45,2025-04-03
EICHERMOT,-94,25,31,22,333,440,106,73,3,146,339,5347.7,2025-03-28
EICHERMOT,-292,151,-7,-19,1835,998,-1,-30,18,277,315,5307.15,2025-04-01
EICHERMOT,-688,60,23,5,843,84,-9,29,3,154,156,5355.5,2025-04-02
EICHERMOT,-147,-11,13,2,-37,72,141,10,8,240,269,5379.1,2025-04-03
ESCORTS,387,24,12,0,385,379,21,191,5,181,76,3249.65,2025-03-28
ESCORTS,256,54,78,0,-42,173,5,33,0,429,86,3218.8,2025-04-01
ESCORTS,-626,10,49,0,248,368,46,-5,0,1808,700,3228.4,2025-04-02
ESCORTS,-69,-57,-33,0,53,-3,19,-7,0,-99,-1181,3276,2025-04-03
EXIDEIND,-249,139,91,0,366,251,38,138,50,243,316,360.45,2025-03-28
EXIDEIND,-390,-62,3,5,-3,210,42,83,-1,130,144,364.8,2025-04-01
EXIDEIND,-171,-242,-157,1,296,210,26,33,1,97,-63,371.6,2025-04-02
EXIDEIND,42,-54,-35,-1,-26,4,30,20,9,44,-12,372.2,2025-04-03
FEDERALBNK,526,10,47,12,474,263,34,171,85,630,159,192.75,2025-03-28
FEDERALBNK,-132,25,48,3,249,362,31,98,33,318,83,192.45,2025-04-01
FEDERALBNK,46,18,11,3,135,27,7,-27,2,111,16,192.1,2025-04-02
FEDERALBNK,432,46,123,5,352,-27,38,11,-42,43,69,194.15,2025-04-03
GAIL,-1433,-33,-49,12,315,467,13,125,20,240,320,183.05,2025-03-28
GAIL,-614,295,-210,-5,460,-10,16,-80,46,200,452,186.3,2025-04-01
GAIL,-1153,-22,-12,-8,483,199,8,31,-8,155,-35,184.05,2025-04-02
GAIL,-809,12,49,-12,75,293,-19,-13,6,83,26,183.65,2025-04-03
GLENMARK,-238,144,27,41,650,386,5,31,33,461,411,1541.05,2025-03-28
GLENMARK,-224,-49,27,1,175,49,16,76,22,-19,209,1509.2,2025-04-01
GLENMARK,-288,6,36,0,43,-10,90,-7,6,147,241,1515.5,2025-04-02
GLENMARK,-924,81,31,24,257,339,93,35,3,17,-77,1545.2,2025-04-03
GMRAIRPORT,639,156,155,37,621,292,19,98,68,184,104,75.73,2025-03-28
GMRAIRPORT,-453,-88,-61,36,529,140,-19,90,8,36,216,77.36,2025-04-01
GMRAIRPORT,-50,8,80,18,-117,246,41,40,0,192,103,78.84,2025-04-02
GMRAIRPORT,382,60,-221,-179,1190,522,207,117,38,678,392,82.7,2025-04-03
GODREJCP,-664,19,-2,82,267,343,76,47,19,257,681,1159.25,2025-03-28
GODREJCP,-72,-38,41,1,57,26,-8,-17,11,-138,40,1143.6,2025-04-01
GODREJCP,135,39,53,-9,29,88,7,10,12,144,443,1162.65,2025-04-02
GODREJCP,-164,53,30,4,82,21,31,57,14,54,-53,1162.05,2025-04-03
GODREJPROP,132,52,41,3,653,424,109,77,2,466,67,2129.5,2025-03-28
GODREJPROP,577,69,22,,726,403,153,-6,-4,638,46,2041.45,2025-04-01
GODREJPROP,446,-79,31,0,-304,414,58,2,0,240,-131,2146.8,2025-04-02
GODREJPROP,-204,-6,-47,0,887,23,12,-16,1,203,2,2151.45,2025-04-03
GRANULES,-311,11,63,0,330,182,45,88,33,80,73,486.45,2025-03-28
GRANULES,185,35,8,0,495,-44,25,20,14,-149,68,482.75,2025-04-01
GRANULES,325,85,16,0,150,32,-35,-48,12,37,54,483.15,2025-04-02
GRANULES,-282,48,15,3,100,101,57,7,-2,-58,-44,491.2,2025-04-03
GRASIM,-509,-118,-68,31,386,685,76,79,15,559,678,2611.15,2025-03-28
GRASIM,219,-29,-70,-1,232,234,-9,33,7,-22,103,2619,2025-04-01
GRASIM,-490,-8,-17,-2,153,357,15,-9,10,226,294,2616.5,2025-04-02
GRASIM,227,-156,30,10,310,90,120,37,5,384,-5,2651.95,2025-04-03
HAL,801,-22,-419,-80,1354,2205,120,650,314,285,1153,4177.35,2025-03-28
